Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
3,Hearthstone,5,2017,39409029,53040,246,215.04
5,Counter-Strike: Global Offensive,5,2017,23364660,31446,827,38.02
6,Overwatch,5,2017,20539723,27644,1191,23.19
10,World of Warcraft,5,2017,8179253,11008,572,19.24
24,StarCraft II,5,2017,3201968,4309,72,59.21
115,StarCraft,5,2017,317004,426,17,24.72
181,Dofus,5,2017,152876,205,9,21.91
1,League of Legends,6,2017,84467396,117478,1598,73.48
4,Hearthstone,6,2017,28109979,39095,203,192.13
5,Overwatch,6,2017,22749333,31640,1366,23.15
6,Counter-Strike: Global Offensive,6,2017,21829455,30360,787,38.55
10,World of Warcraft,6,2017,10237012,14237,630,22.59
25,StarCraft II,6,2017,3526670,4904,69,70.9
154,StarCraft,6,2017,184606,256,16,15.97
158,Dofus,6,2017,180612,251,10,22.95
1,League of Legends,7,2017,84734733,114044,1751,65.12
2,Counter-Strike: Global Offensive,7,2017,68139030,91707,841,108.95
4,Hearthstone,7,2017,27058958,36418,218,166.65
6,Overwatch,7,2017,19496787,26240,1177,22.28
9,World of Warcraft,7,2017,11158771,15018,684,21.95
15,StarCraft II,7,2017,4220890,5680,70,80.81
115,StarCraft,7,2017,418836,563,1,312.33
2,League of Legends,8,2017,72054710,96978,1696,57.16
4,Hearthstone,8,2017,43216654,58165,301,193.08
5,Counter-Strike: Global Offensive,8,2017,20163803,27138,865,31.36
7,Overwatch,8,2017,17443046,23476,1152,20.37
10,World of Warcraft,8,2017,9335595,12564,607,20.67
18,StarCraft II,8,2017,3286713,4423,70,62.54
21,StarCraft,8,2017,3014260,4056,49,82.27
188,Dofus,8,2017,169109,227,10,20.7
1,League of Legends,9,2017,74422199,103507,1709,60.54
3,Hearthstone,9,2017,38277477,53237,258,206.23
5,Counter-Strike: Global Offensive,9,2017,27290465,37956,775,48.96
8,Overwatch,9,2017,16746745,23291,1054,22.09
9,World of Warcraft,9,2017,11502481,15997,646,24.74
24,StarCraft II,9,2017,3330123,4631,76,60.93
51,StarCraft,9,2017,1052884,1464,28,50.62
155,Dofus,9,2017,224248,311,10,29.58
1,League of Legends,10,2017,94680105,127429,1779,71.61
3,Hearthstone,10,2017,33234073,44729,237,188.48
5,Counter-Strike: Global Offensive,10,2017,28388369,38207,798,47.87
10,Overwatch,10,2017,14579938,19623,981,20
12,World of Warcraft,10,2017,9800138,13189,623,21.16
30,StarCraft II,10,2017,3389715,4562,66,69
57,Dofus,10,2017,964907,1298,22,57.63
103,StarCraft,10,2017,439101,590,19,30.6
1,League of Legends,11,2017,82917485,115323,1867,61.77
4,Hearthstone,11,2017,27488520,38231,261,146.22
5,Counter-Strike: Global Offensive,11,2017,25703362,35748,798,44.77
8,Overwatch,11,2017,22309745,31028,1161,26.71
10,World of Warcraft,11,2017,17687599,24600,747,32.89
20,StarCraft II,11,2017,4847448,6741,89,75.01
117,Dofus,11,2017,389404,541,16,32.1
127,StarCraft,11,2017,316927,440,15,29.19
1,League of Legends,12,2017,68756773,92539,1865,49.62
3,Hearthstone,12,2017,42788719,57589,370,155.56
7,Counter-Strike: Global Offensive,12,2017,18625865,25068,864,29.01
8,Overwatch,12,2017,17837670,24007,1178,20.37
9,World of Warcraft,12,2017,14161787,19060,846,22.52
24,StarCraft II,12,2017,3650325,4912,94,52.15
111,StarCraft,12,2017,440364,592,13,42.66
177,Dofus,12,2017,200239,269,10,24.51
1,League of Legends,1,2018,89024896,119818,2388,50.16
2,Counter-Strike: Global Offensive,1,2018,69603467,93678,1055,88.75
5,Hearthstone,1,2018,35066069,47195,323,145.68
6,Overwatch,1,2018,32620891,43904,1504,29.18
12,World of Warcraft,1,2018,12127995,16323,853,19.13
27,StarCraft II,1,2018,4169500,5611,92,60.66
1,League of Legends,2,2018,81115898,120888,2333,51.81
4,Counter-Strike: Global Offensive,2,2018,37486546,55866,1160,48.13
7,Hearthstone,2,2018,27966290,41678,283,146.76
8,Overwatch,2,2018,26713493,39811,1339,29.72
9,World of Warcraft,2,2018,15185590,22631,933,24.25
20,StarCraft II,2,2018,3934188,5863,92,63.14
2,League of Legends,3,2018,88820363,119542,2139,55.87
5,Overwatch,3,2018,32053648,43140,1334,32.32
7,Counter-Strike: Global Offensive,3,2018,28078226,37790,1063,35.54
8,Hearthstone,3,2018,28074224,37784,255,147.91
10,World of Warcraft,3,2018,11303385,15213,845,17.99
15,StarCraft II,3,2018,8336814,11220,105,106.63
160,StarCraft,3,2018,247337,332,13,24.46
2,League of Legends,4,2018,74263170,103286,2030,50.87
4,Hearthstone,4,2018,43002088,59808,368,162.12
7,Overwatch,4,2018,31997018,44502,1292,34.44
8,Counter-Strike: Global Offensive,4,2018,22925690,31885,920,34.64
10,World of Warcraft,4,2018,12359684,17190,815,21.07
14,StarCraft II,4,2018,6051548,8416,103,81.1
117,Dofus,4,2018,434626,604,14,42.54
2,League of Legends,5,2018,82088339,110482,1941,56.91
6,Hearthstone,5,2018,33731225,45398,273,166.04
7,Overwatch,5,2018,31493400,42386,1290,32.86
8,Counter-Strike: Global Offensive,5,2018,26429452,35571,824,43.15
9,World of Warcraft,5,2018,13250690,17834,761,23.43
23,StarCraft II,5,2018,4359409,5867,91,64.05
151,Dofus,5,2018,315508,424,15,27.52
