Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
9,Counter-Strike: Global Offensive,6,2021,55332904,76958,1616,47.61
10,World of Warcraft,6,2021,52816476,73458,1841,39.9
19,Hearthstone,6,2021,16276838,22638,200,113.12
23,Overwatch,6,2021,12330934,17150,957,17.91
53,StarCraft,6,2021,4370426,6078,30,200.93
58,StarCraft II,6,2021,3997737,5560,72,76.61
3,League of Legends,7,2021,134363514,180839,3985,45.38
7,Counter-Strike: Global Offensive,7,2021,58658860,78948,1490,52.97
9,World of Warcraft,7,2021,47511323,63945,1645,38.87
19,Hearthstone,7,2021,18547791,24963,196,127.02
29,Overwatch,7,2021,10952403,14740,946,15.57
34,StarCraft,7,2021,8629736,11614,42,273.13
59,StarCraft II,7,2021,4038126,5434,74,73.31
3,League of Legends,8,2021,138132735,185912,3989,46.6
9,Counter-Strike: Global Offensive,8,2021,49822431,67055,1479,45.32
13,Hearthstone,8,2021,23392208,31483,232,135.51
16,World of Warcraft,8,2021,19746958,26577,1320,20.12
33,Overwatch,8,2021,8981103,12087,772,15.65
59,StarCraft II,8,2021,4339923,5841,77,75.66
142,StarCraft,8,2021,1163369,1565,32,47.65
196,Dofus,8,2021,749566,1008,34,29.16
3,League of Legends,9,2021,107406590,149383,3788,39.43
7,Counter-Strike: Global Offensive,9,2021,61533744,85582,1401,61.07
15,Hearthstone,9,2021,24268029,33752,250,134.75
19,World of Warcraft,9,2021,17060029,23727,1262,18.79
34,Overwatch,9,2021,8401428,11684,725,16.1
65,StarCraft II,9,2021,3582477,4982,72,68.88
109,Dofus,9,2021,1677918,2333,48,48.52
164,StarCraft,9,2021,894195,1243,26,46.38
2,League of Legends,10,2021,208574800,280719,3351,83.77
6,Counter-Strike: Global Offensive,10,2021,70180423,94455,1287,73.38
16,Hearthstone,10,2021,19705900,26522,203,130.05
25,World of Warcraft,10,2021,12460845,16770,988,16.97
36,Overwatch,10,2021,8014815,10787,710,15.19
53,StarCraft II,10,2021,4271515,5749,63,90.1
165,StarCraft,10,2021,814392,1096,22,48.43
182,Dofus,10,2021,741679,998,33,29.43
3,League of Legends,11,2021,102612188,142715,3366,42.4
4,Counter-Strike: Global Offensive,11,2021,79981393,111239,1323,84.05
16,World of Warcraft,11,2021,20714195,28809,1101,26.16
21,Hearthstone,11,2021,17118229,23808,180,131.81
41,Overwatch,11,2021,8238742,11458,644,17.79
77,StarCraft II,11,2021,2817782,3919,59,65.9
136,StarCraft,11,2021,1241602,1726,22,75.11
197,Dofus,11,2021,645248,897,29,30.76
4,League of Legends,12,2021,95180552,128103,3318,38.6
10,Counter-Strike: Global Offensive,12,2021,45401155,61105,1231,49.63
15,World of Warcraft,12,2021,22373247,30112,1046,28.77
18,Hearthstone,12,2021,20191997,27176,189,143.59
34,Overwatch,12,2021,8003500,10771,642,16.75
99,StarCraft II,12,2021,1969769,2651,55,47.43
118,StarCraft,12,2021,1496395,2013,24,81.11
165,Dofus,12,2021,864044,1162,30,38.17
